model_id,technology,natural_language,intelligence_type,ring_affinity,primitive_function,sovereign_replacement_candidate,current_status,package_path,organism_placement
FF-001,HTML5,HTML5 as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/html5.json,Frontend organism / structure layer
FF-002,XML,XML as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/xml.json,Frontend organism / structure layer
FF-003,SVG,SVG as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/svg.json,Frontend organism / structure layer
FF-004,MathML,MathML as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/mathml.json,Frontend organism / structure layer
FF-005,XHTML,XHTML as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/xhtml.json,Frontend organism / structure layer
FF-006,Web Components,Web Components as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/web-components.json,Frontend organism / structure layer
FF-007,Shadow DOM,Shadow DOM as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/shadow-dom.json,Frontend organism / structure layer
FF-008,Template Literals,Template Literals as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/template-literals.json,Frontend organism / structure layer
FF-009,CSS3,CSS3 as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css3.json,Frontend organism / visual layer
FF-010,SCSS / Sass,SCSS / Sass as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/scss-sass.json,Frontend organism / visual layer
FF-011,Less,Less as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/less.json,Frontend organism / visual layer
FF-012,Stylus,Stylus as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/stylus.json,Frontend organism / visual layer
FF-013,PostCSS,PostCSS as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/postcss.json,Frontend organism / visual layer
FF-014,CSS Modules,CSS Modules as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-modules.json,Frontend organism / visual layer
FF-015,Tailwind CSS,Tailwind CSS as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/tailwind-css.json,Frontend organism / visual layer
FF-016,CSS-in-JS,CSS-in-JS as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-in-js.json,Frontend organism / visual layer
FF-017,Emotion,Emotion as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/emotion.json,Frontend organism / visual layer
FF-018,Styled Components,Styled Components as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/styled-components.json,Frontend organism / visual layer
FF-019,CSS Grid,CSS Grid as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-grid.json,Frontend organism / visual layer
FF-020,Flexbox,Flexbox as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/flexbox.json,Frontend organism / visual layer
FF-021,CSS Variables,CSS Variables as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-variables.json,Frontend organism / visual layer
FF-022,CSS Animations,CSS Animations as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-animations.json,Frontend organism / visual layer
FF-023,CSS Transforms,CSS Transforms as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-transforms.json,Frontend organism / visual layer
FF-024,TypeScript,TypeScript as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/typescript.json,Frontend organism / orchestration layer
FF-025,React,React as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/react.json,Frontend organism / orchestration layer
FF-026,Vue.js,Vue.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/vue-js.json,Frontend organism / orchestration layer
FF-027,Angular,Angular as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/angular.json,Frontend organism / orchestration layer
FF-028,Svelte,Svelte as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/svelte.json,Frontend organism / orchestration layer
FF-029,SolidJS,SolidJS as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/solidjs.json,Frontend organism / orchestration layer
FF-030,Preact,Preact as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/preact.json,Frontend organism / orchestration layer
FF-031,Alpine.js,Alpine.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/alpine-js.json,Frontend organism / orchestration layer
FF-032,Lit,Lit as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/lit.json,Frontend organism / orchestration layer
FF-033,Qwik,Qwik as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/qwik.json,Frontend organism / orchestration layer
FF-034,Astro,Astro as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/astro.json,Frontend organism / orchestration layer
FF-035,Next.js,Next.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/next-js.json,Frontend organism / orchestration layer
FF-036,Nuxt.js,Nuxt.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/nuxt-js.json,Frontend organism / orchestration layer
FF-037,SvelteKit,SvelteKit as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/sveltekit.json,Frontend organism / orchestration layer
