family_id,family_name,member_models,modalities,ring_affinity,fusion_strategy,autonomous,category_span,total_uses
MMF-001,Structure-Vision Family,"FIM-001 / FIM-002 / FIM-003","text / html / svg / mathml / vision / component-tree",Projection Ring,Hierarchical composition — HTML encapsulates Web Components which embed SVG/MathML,true,Markup,15
MMF-002,Visual-Design Family,"FIM-004 / FIM-005 / FIM-006","css / token-json / animation / vision / palette / easing",Visual Ring,Token-driven cascade — design tokens feed layout which drives animation timing,true,Styling,15
MMF-003,Framework-Orchestration Family,"FIM-007 / FIM-008 / FIM-009","react-code / vue-code / edge-code / route-map / component-tree",Interface Ring,Meta-framework arbitration — selector recommends framework then delegates,true,Framework,15
MMF-004,Memory-State Family,"FIM-010 / FIM-011 / FIM-012","state-schema / form-schema / statechart / validation / debug-visualization",Memory Ring,Layered state — state machines guard form state which feeds reactive store,true,State,15
MMF-005,Build-Transform Family,"FIM-013 / FIM-014 / FIM-015","build-config / typescript / pipeline-yaml / bundle-stats / release-notes",Build Ring,Pipeline composition — TypeScript types inform bundler config feeding CI/CD,true,Build,15
MMF-006,Verification-Proof Family,"FIM-016 / FIM-017 / FIM-018","test-code / e2e-code / performance-report / visual-diff / coverage",Proof Ring,Verification pyramid — unit tests validate components then E2E then perf,true,Testing,15
MMF-007,Scene-Graphics Family,"FIM-019 / FIM-020 / FIM-021","shader-code / scene-code / canvas-code / chart-data / visualization",Geometry Ring,Render pipeline fusion — WebGPU compute feeds data viz rendering to Canvas/WebGL,true,Graphics,15
MMF-008,Transport-Stream Family,"FIM-022 / FIM-023 / FIM-024","api-schema / ws-stream / graphql-query / cache-strategy / client-code",Transport Ring,Channel multiplexing — REST/GraphQL/WebSocket channels under intelligent routing,true,Communication,15
MMF-009,Persistence-Vault Family,"FIM-025 / FIM-026 / FIM-027","idb-schema / cache-config / token-lifecycle / encrypted-storage",Persistence Ring,Layered vault — auth tokens in memory and cache by SW and data in IndexedDB,true,Storage,15
MMF-010,Native-Browser Family,"FIM-028 / FIM-029 / FIM-030","sw-code / worker-code / sensor-data / push-notification / pwa-manifest",Native Capability Ring,Browser substrate — SW manages lifecycle and Workers handle compute and Sensors feed data,true,Web API,15
